price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,in_urban_areas
42000.0,2145,3.0,1.0,3.0,yes,no,no,,no,1.0,yes,unfurnished,Yes
122500.0,8960,4.0,4.0,4.0,yes,no,no,no,yes,3.0,no,furnished,Yes
49000.0,2970,-51.816138966744944,1.0,3.0,yes,no,no,no,no,0.0,no,semi-furnished,Yes
44030.0,4880,3.0,1.0,1.0,yes,no,no,no,no,2.0,yes,unfurnished,Yes
28700.0,3040,2.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished,Yes
42770.0,3400,3.0,1.0,2.0,yes,no,yes,no,no,2.0,yes,semi-furnished,Yes
45850.0,4000,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,furnished,Yes
64750.0,7410,3.0,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,unfurnished,Yes
98000.0,5750,3.0,2.0,4.0,yes,yes,no,no,yes,1.0,yes,unfurnished,Yes
45850.0,3840,3.0,1.0,2.0,yes,no,no,no,no,1.0,yes,semi-furnished,Yes
42000.0,7000,3.0,1.0,1.0,,no,no,no,no,3.0,no,furnished,Yes
19600.0,3420,5.0,1.0,2.0,no,no,no,no,no,0.0,no,unfurnished,Yes
30100.0,3750,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
40600.0,4340,,1.0,1.0,yes,no,no,no,no,0.0,no,,Yes
98700.0,8100,4.0,1.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished,Yes
26530.0,3185,2.0,1.0,1.0,yes,no,no,no,yes,0.0,,unfurnished,Yes
93100.0,6550,4.0,2.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished,Yes
28350.0,,3.0,1.0,2.0,no,no,no,no,no,1.0,no,semi-furnished,Yes
48930.0,3420,4.0,2.0,2.0,yes,no,yes,no,yes,2.0,no,semi-furnished,Yes
35000.0,5900,2.0,,1.0,yes,no,no,no,no,1.0,,furnished,Yes
35700.0,4500,4.0,2.0,2.0,yes,no,yes,no,no,2.0,no,furnished,Yes
44800.0,4510,4.0,1.0,2.0,yes,no,no,no,yes,2.0,,semi-furnished,Yes
46200.0,4160,3.0,1.0,1.0,yes,yes,yes,,yes,0.0,no,unfurnished,Yes
43820.0,4950,4.0,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,Yes
29400.0,4960,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
31290.0,5495,3.0,1.0,1.0,yes,no,yes,no,no,0.0,no,unfurnished,Yes
77000.0,6480,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,unfurnished,Yes
74200.0,6325,3.0,1.0,4.0,yes,no,no,no,yes,1.0,no,unfurnished,Yes
53200.0,7800,3.0,1.0,1.0,yes,no,yes,no,yes,2.0,yes,unfurnished,Yes
84000.0,8875,3.0,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,Yes
42000.0,4600,3.0,2.0,2.0,yes,no,no,no,yes,1.0,,semi-furnished,Yes
45150.0,9860,3.0,,1.0,yes,no,no,no,no,,no,semi-furnished,Yes
52500.0,,3.0,1.0,1.0,yes,no,no,no,yes,2.0,no,furnished,Yes
70700.0,6240,60.09621786220845,2.0,2.0,yes,no,no,no,yes,1.0,no,furnished,Yes
67900.0,4000,3.0,2.0,2.0,yes,no,yes,no,,0.0,yes,semi-furnished,Yes
43190.0,4032,2.0,1.0,1.0,yes,no,yes,no,no,0.0,no,furnished,Yes
49000.0,5800,2.0,1.0,1.0,yes,yes,yes,no,yes,0.0,no,semi-furnished,Yes
24500.0,3000,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,unfurnished,Yes
44730.0,3162A,3.0,1.0,2.0,yes,no,no,no,yes,1.0,no,furnished,Yes
33950.0,3450,3.0,1.0,1.0,yes,no,yes,no,no,2.0,no,unfurnished,Yes
25200.0,3180,3.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished,Yes
51450.0,3410,3.0,1.0,2.0,no,no,no,no,yes,0.0,no,semi-furnished,Yes
39900.0,6480,3.0,1.0,2.0,no,no,no,,yes,1.0,no,semi-furnished,Yes
30100.0,3090,3.0,1.0,2.0,no,no,no,no,no,0.0,no,semi-furnished,Yes
38360.0,3350,-51.816138966744944,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
73430.0,11440,4.0,1.0,2.0,yes,no,yes,no,no,1.0,yes,semi-furnished,Yes
41930.0,8250,3.0,1.0,1.0,yes,no,yes,no,no,3.0,no,semi-furnished,Yes
31500.0,4095,2.0,1.0,,yes,no,no,no,no,2.0,no,semi-furnished,Yes
22400.0,1950,3.0,1.0,1.0,no,no,,yes,no,0.0,no,unfurnished,Yes
54950.0,7980,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,semi-furnished,Yes
44800.0,4040,3.0,1.0,2.0,yes,no,no,no,no,,no,semi-furnished,
86800.0,7155,3.0,2.0,1.0,yes,yes,yes,no,yes,2.0,no,unfurnished,Yes
33600.0,4120,2.0,1.0,2.0,yes,no,no,no,no,-1.9077761297792797,no,unfurnished,Yes
31500.0,3500,2.0,2.7735190860333443,1.0,no,no,yes,no,no,0.0,no,semi-furnished,Yes
44450.0,3750,2.0,1.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished,
35000.0,3990,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,,Yes
72100.0,6000,3.0,2.0,4.424907658129611,yes,yes,,no,yes,1.0,no,furnished,Yes
45500.0,3520,3.0,1.0,1.0,yes,no,no,no,no,0.0,yes,semi-furnished,Yes
59500.0,7231,3.0,1.0,2.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,Yes
59430.0,15600,3.0,1.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished,Yes
37100.0,3584,2.0,1.0,,yes,no,no,yes,no,0.0,no,semi-furnished,Yes
26600.0,3934,2.0,1.0,,yes,no,no,no,no,,no,unfurnished,Yes
37800.0,4820,3.0,1.0,,yes,,no,no,no,0.0,no,semi-furnished,
29400.0,2700,2.0,1.0,1.0,no,no,,no,no,0.0,no,furnished,Yes
49070.0,,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,furnished,Yes
73500.0,6000,3.0,,2.0,yes,yes,no,no,yes,,no,semi-furnished,Yes
50050.0,8150,3.0,2.0,1.0,yes,yes,yes,no,no,,no,semi-furnished,Yes
30800.0,4960,2.0,1.0,1.0,yes,no,,no,yes,0.0,,unfurnished,Yes
42000.0,5040,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,no,unfurnished,Yes
108500.0,7500,3.0,3.0,-0.7931247123931777,yes,no,,no,yes,2.0,yes,semi-furnished,Yes
32200.0,2684,2.0,1.0,1.0,yes,no,no,,,1.0,no,unfurnished,Yes
78400.0,6360,3.0,2.0,4.0,yes,no,no,no,yes,0.0,yes,furnished,Yes
24080.0,3635,2.0,1.0,1.0,no,no,no,no,no,3.2858951316986653,no,unfurnished,Yes
44730.0,6360,2.0,1.0,,yes,no,yes,,yes,1.0,,furnished,Yes
30100.0,4600,2.0,2.7735190860333443,1.0,,no,no,no,no,0.0,no,furnished,Yes
36400.0,3520,2.0,2.0,1.0,yes,no,yes,no,no,0.0,no,semi-furnished,Yes
27300.0,6800,2.0,1.0,1.0,yes,no,no,,no,0.0,no,unfurnished,Yes
42000.0,5040,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,no,unfurnished,Yes
29400.0,3480,,1.0,2.0,no,no,no,no,no,1.0,no,,Yes
46200.0,5010,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished,Yes
32900.0,4040,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
39900.0,4050,,1.0,2.0,yes,yes,yes,no,no,0.0,yes,unfurnished,Yes
58800.0,7160,,1.0,1.0,yes,no,yes,no,no,2.0,yes,unfurnished,Yes
36400.0,4130,,2.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished,Yes
62300.0,5500,3.0,1.0,3.0,yes,no,no,no,no,1.0,yes,unfurnished,Yes
54250.0,6825,3.0,1.0,1.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,
101500.0,16200,5.0,3.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
60200.0,8000,,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,semi-furnished,Yes
42000.0,4500,3.0,1.0,1.0,yes,no,yes,no,no,0.0,no,furnished,Yes
73500.0,6000,4.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,furnished,
88550.0,6420,300.0,2.0,2.0,yes,no,no,no,yes,1.0,yes,,Yes
47600.0,9166,2.0,1.0,1.0,yes,no,yes,no,yes,2.0,no,semi-furnished,Yes
32900.0,6060,3.0,1.0,1.0,yes,yes,yes,no,no,0.0,no,furnished,
39200.0,8080,3.0,1.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished,Yes
68600.0,6000,3.0,1.0,1.0,yes,no,no,no,yes,1.0,no,furnished,Yes
54600.0,6600,4.0,2.0,2.0,yes,yes,yes,no,no,0.0,yes,semi-furnished,Yes
58100.0,5200,3.0,1.0,3.0,yes,no,no,no,yes,0.0,no,semi-furnished,Yes
39200.0,3290,2.0,1.0,1.0,yes,no,no,yes,no,1.0,no,furnished,Yes
35000.0,3600,60.09621786220845,1.0,2.0,yes,no,no,no,no,1.0,no,unfurnished,Yes
30030.0,8050,2.0,1.0,1.0,,no,no,no,no,0.0,no,unfurnished,Yes
66850.0,6600,2.0,2.0,4.0,yes,no,yes,no,no,0.0,yes,furnished,Yes
26600.0,2000,,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,Yes
58030.0,7000,3.0,1.0,1.0,yes,no,yes,no,no,2.0,yes,semi-furnished,Yes
54600.0,6100,3.0,1.0,3.0,yes,yes,no,no,yes,0.0,yes,semi-furnished,Yes
36400.0,3180,3.0,1.0,2.0,no,no,yes,no,no,0.0,,semi-furnished,Yes
91000.0,6600,4.0,2.0,2.0,yes,yes,yes,no,yes,1.0,yes,unfurnished,Yes
42000.0,3520,3.0,1.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished,Yes
30100.0,3240,3.0,1.0,2.0,yes,no,no,no,no,2.0,no,,Yes
61950.0,5500,3.0,,4.0,yes,yes,no,,yes,1.0,no,semi-furnished,Yes
55300.0,3650,3.0,2.0,2.0,yes,no,no,no,,2.0,no,semi-furnished,Yes
33250.0,4040,2.0,1.0,,,no,,no,no,1.0,no,unfurnished,Yes
29750.0,4352,4.0,1.0,2.0,no,no,no,no,no,1.0,no,unfurnished,Yes
52500.0,6540,4.0,,,no,no,no,no,yes,0.0,no,semi-furnished,Yes
36400.0,,2.0,1.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished,Yes
25200.0,3000,2.0,1.0,2.0,yes,no,no,no,no,-1.9077761297792797,no,furnished,Yes
49700.0,4410,4.0,3.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished,
72450.0,,4.0,2.0,4.0,yes,yes,no,no,yes,1.0,yes,furnished,Yes
62300.0,6600,3.0,2.0,1.0,yes,no,yes,no,yes,0.0,yes,unfurnished,Yes
26600.0,4000,3.0,1.0,1.0,yes,no,no,no,no,0.0,no,semi-furnished,Yes
24850.0,4400,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
46900.0,6000,2.0,1.0,1.0,yes,no,yes,no,yes,1.0,no,,Yes
37800.0,8400,2.0,1.0,1.0,yes,no,no,no,no,,no,furnished,Yes
57750.0,6000,3.0,2.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished,Yes
31500.0,3450,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished,Yes
25900.0,3600,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
51100.0,3000,3.0,2.0,2.0,yes,yes,yes,no,no,,no,furnished,Yes
46130.0,4510,4.0,2.0,2.0,yes,no,yes,no,no,3.2858951316986653,no,semi-furnished,Yes
33950.0,4785,3.0,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,Yes
61950.0,6350,,2.0,3.0,yes,yes,no,no,yes,0.0,no,furnished,Yes
43400.0,1905,5.0,1.0,2.0,no,no,yes,no,no,0.0,no,semi-furnished,Yes
36400.0,2850,3.0,2.0,2.0,no,no,yes,no,no,,yes,unfurnished,Yes
35000.0,3640,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,
49560.0,2800,3.0,2.0,2.0,no,no,yes,no,yes,1.0,no,semi-furnished,Yes
59500.0,3700,4.0,1.0,2.0,yes,yes,no,no,yes,0.0,no,,Yes
23800.0,2475,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,furnished,Yes
36400.0,,2.0,1.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished,Yes
24500.0,7700,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
58730.0,5500,3.0,,3.0,yes,yes,no,no,yes,1.0,no,furnished,Yes
73500.0,5150,3.0,-0.21475222668845007,4.0,,no,no,no,yes,2.0,no,semi-furnished,Yes
52150.0,3180,3.0,2.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished,Yes
42000.0,2953,3.0,1.0,2.0,yes,no,,no,yes,0.0,no,unfurnished,Yes
31150.0,3000,3.0,1.0,1.0,,no,no,no,yes,0.0,no,unfurnished,Yes
49000.0,6720,3.0,1.0,,yes,no,,no,no,0.0,no,unfurnished,Yes
46900.0,9667,4.0,2.0,2.0,yes,yes,yes,,no,1.0,no,semi-furnished,Yes
31500.0,1650,3.0,1.0,2.0,no,no,yes,no,no,0.0,no,unfurnished,Yes
61950.0,5500,3.0,2.0,1.0,,yes,yes,no,no,2.0,yes,,Yes
42000.0,5500,3.0,1.0,2.0,,no,no,no,yes,0.0,no,unfurnished,Yes
61075.0,3240,4.0,1.0,3.0,yes,no,no,no,no,1.0,no,semi-furnished,Yes
44730.0,3510,3.0,1.0,2.0,yes,no,no,,no,0.0,no,,Yes
59500.0,6540,3.0,1.0,1.0,yes,yes,yes,no,no,2.0,yes,furnished,Yes
40250.0,5400,3.0,1.0,1.0,yes,no,no,,no,3.0,no,semi-furnished,Yes
45150.0,3510,3.0,1.0,3.0,yes,no,no,no,no,0.0,no,semi-furnished,
32900.0,2500,-51.816138966744944,1.0,1.0,no,no,no,no,yes,0.0,no,unfurnished,Yes
36050.0,4500,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,semi-furnished,Yes
42000.0,2747,4.0,2.0,2.0,no,no,no,no,no,0.0,no,semi-furnished,Yes
22750.0,3970,,1.0,2.0,yes,no,yes,no,no,0.0,no,unfurnished,Yes
35000.0,5880,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
44100.0,3968,3.0,1.0,2.0,no,no,no,no,no,0.0,no,semi-furnished,Yes
46200.0,5680,3.0,1.0,2.0,yes,yes,,no,yes,1.0,no,semi-furnished,Yes
49000.0,4770,,1.0,1.0,yes,yes,yes,no,no,0.0,no,semi-furnished,Yes
58100.0,4800,3.0,1.0,3.0,yes,no,no,no,yes,0.0,no,unfurnished,Yes
81200.0,6840,5.0,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,Yes
44030.0,2880,3.0,1.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished,Yes
57400.0,6360,,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,furnished,Yes
64400.0,5000,,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,Yes
80809.4,7000,3.0,2.0,4.0,,no,no,no,yes,2.0,,furnished,Yes
26040.0,,2.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished,Yes
40600.0,3000,,1.0,3.0,yes,no,yes,,yes,2.0,no,semi-furnished,Yes
52500.0,8400,,1.0,2.0,yes,yes,yes,no,yes,2.0,yes,unfurnished,Yes
49000.0,12900,3.0,1.0,,yes,no,no,no,no,2.0,no,furnished,Yes
41650.0,4840,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,,Yes
59500.0,7231,3.0,1.0,2.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,Yes
59500.0,6525,3.0,2.0,4.0,yes,no,no,no,no,1.0,no,furnished,Yes
50400.0,3540,2.0,1.0,1.0,no,yes,,no,no,0.0,,semi-furnished,Yes
122500.0,9960,3.0,2.0,2.0,yes,no,yes,no,no,2.0,yes,semi-furnished,Yes
61250.0,6420,3.0,1.0,3.0,yes,no,yes,no,no,0.0,yes,unfurnished,Yes
48650.0,4350,2.0,1.0,1.0,yes,no,yes,no,no,0.0,no,unfurnished,Yes
66500.0,4260,4.0,2.0,2.0,yes,,no,yes,no,0.0,no,semi-furnished,Yes
49000.0,6300,3.0,1.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished,Yes
43400.0,4075,3.0,1.0,,yes,yes,yes,no,no,2.0,no,semi-furnished,Yes
74550.0,4300,3.0,2.0,2.0,yes,no,yes,no,no,1.0,no,unfurnished,Yes
21000.0,3360,2.0,1.0,1.0,yes,no,no,no,no,,no,unfurnished,Yes
32900.0,6060,3.0,1.0,1.0,yes,yes,yes,no,no,0.0,no,furnished,
73500.0,6000,3.0,1.0,2.0,yes,no,no,,yes,1.0,no,unfurnished,Yes
30100.0,3630,4.0,1.0,2.0,yes,no,no,no,no,3.0,no,semi-furnished,Yes
60900.0,8372,-51.816138966744944,1.0,3.0,yes,no,no,no,yes,2.0,no,unfurnished,Yes
63000.0,6000,4.0,2.0,4.0,,no,no,no,no,1.0,no,semi-furnished,Yes
64750.0,3960,3.0,1.0,1.0,yes,no,yes,no,no,2.0,no,semi-furnished,Yes
65100.0,6670,3.0,1.0,3.0,yes,no,yes,no,no,0.0,yes,unfurnished,Yes
49000.0,4646,3.0,,2.0,yes,yes,yes,no,no,2.0,no,semi-furnished,Yes
48300.0,6862,3.0,1.0,2.0,,no,no,no,yes,2.0,yes,furnished,Yes
49350.0,5948,3.0,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,Yes
